osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent
"35546036","1","35546036","65","35","7",yes,6971770.399799999780953,,65.0000,35.0000,7.0000,-128246.3195,6971771.0127,"4",-128248.8000,"100"
"35546037","1","35546037","65","34","8",yes,6971742.561900000087917,,65.0000,35.0000,8.0000,-128272.9071,6971743.8503,"4",-128275.8500,"100"
"35551461","1","35551461","65","35","7",yes,6971805.388000000268221,,62.0000,34.0000,8.0000,-128283.5621,6971805.8443,"4",-128286.1800,"105"
"35551462","1","35551462","66","34","8",yes,6971754.135700000450015,29324493.0000,207.0000,62.0000,12.0000,-128367.6972,6971751.9238,"1",-128372.0400,"32"
"35551463","1","35551463","72","35","9",yes,6971805.805300000123680,,63.0000,35.0000,8.0000,-128339.0663,6971806.2196,"4",-128340.8000,"114"
"35551465","1","35551465","60","35","6",yes,6971970.173100000247359,,62.0000,35.0000,7.0000,-128249.5476,6971971.0550,"4",-128252.2300,"97"
"35551467","1","35551467","63","35","6",yes,6972113.212799999862909,,64.0000,34.0000,6.0000,-128172.2567,6972113.0070,"4",-128175.4700,"98"
"35551469","1","35551469","67","37","13",yes,6972027.072900000028312,,62.0000,36.0000,8.0000,-128221.9058,6972027.2114,"4",-128224.4900,"108"
"35551470","1","35551470","102","43","6",yes,6972152.580699999816716,,231.0000,73.0000,9.0000,-128148.3762,6972157.6084,"1",-128150.3600,"44"
"35551471","1","35551471","100","43","6",yes,6972180.638700000010431,,243.0000,77.0000,11.0000,-128123.1929,6972185.5429,"2",-128124.9500,"41"
"43078229","0","43078229","70","34","4",no,6972088.704900000244379,29416618.0000,1261.0000,151.0000,36.0000,-127157.2719,6972082.8717,"1",-127167.6400,"6"
"43085224","0","43085224","64","36","7",no,6971535.023199999704957,29377074.0000,99.0000,49.0000,11.0000,-127695.2368,6971542.3683,"2",-127694.9000,"65"
"61738712","1","61738712","63","34","6",yes,6972556.263000000268221,,110.0000,45.0000,9.0000,-127209.2675,6972559.2493,"4",-127208.9700,"57"
"61738713","0","61738713","49","34","6",no,6972128.402300000190735,57498481.0000,109.0000,62.0000,10.0000,-127194.3206,6972130.7059,"1",-127187.2100,"45"
"61738716","0","61738716","43","26","5",no,6971830.700600000098348,29411248.0000,140.0000,53.0000,15.0000,-127217.3529,6971831.6575,"2",-127213.4400,"31"
"61738718","1","61738718","62","34","6",yes,6972517.167799999937415,,109.0000,45.0000,8.0000,-127177.2034,6972513.6688,"4",-127178.5000,"57"
"61738720","1","61738720","53","33","8",yes,6972406.407700000330806,52942217.0000,99.0000,49.0000,18.0000,-127143.9571,6972406.6388,"2",-127144.9800,"54"
"61738721","1","61738721","46","31","7",yes,6972658.943500000052154,,111.0000,51.0000,12.0000,-127172.5468,6972657.0381,"2",-127174.2100,"41"
"61738722","0","61738722","65","32","4",no,6972106.197999999858439,29416618.0000,1261.0000,151.0000,36.0000,-127157.2719,6972082.8717,"1",-127182.7600,"5"
"61738723","1","61738723","54","31","5",yes,6972606.119299999438226,,99.0000,49.0000,12.0000,-127190.3673,6972602.4144,"3",-127190.5300,"55"
"61738728","0","61738728","46","29","7",no,6972492.306499999947846,29292166.0000,168.0000,63.0000,16.0000,-128787.9261,6972494.6367,"2",-128790.4300,"27"
"61738729","1","61738729","66","34","8",yes,6972441.800200001336634,,60.0000,34.0000,8.0000,-128710.3677,6972444.9417,"4",-128711.8800,"110"
"61738730","0","61738730","165","61","14",no,6972474.390100000426173,,,,,,,"0",-127417.4500,
"61738731","1","61738731","174","65","13",yes,6972476.969499999657273,,,,,,,"0",-127450.5500,
"61738735","1","61738735","44","27","4",yes,6972474.798600000329316,,120.0000,45.0000,10.0000,-128561.0470,6972474.4829,"2",-128564.0800,"37"
"61738736","1","61738736","48","28","4",yes,6972356.956199999898672,,113.0000,46.0000,10.0000,-128400.4294,6972357.6376,"3",-128400.6000,"42"
"61738737","1","61738737","50","30","5",yes,6972312.870299999602139,52158511.0000,1131.0000,351.0000,78.0000,-128449.4635,6972297.5693,"3",-128418.8200,"4"
"61738740","0","61738740","59","32","5",no,6972319.742899999953806,29310758.0000,135.0000,59.0000,13.0000,-128498.1788,6972324.5318,"2",-128492.5000,"44"
"61738741","0","61738741","54","30","5",no,6971826.064899999648333,,,,,,,"0",-128415.2800,
"61738742","1","61738742","57","31","5",yes,6972394.130400000140071,29321385.0000,115.0000,52.0000,13.0000,-128402.1523,6972397.8843,"3",-128406.9000,"50"
"61738748","1","61738748","38","27","6",yes,6972096.267400000244379,29312840.0000,99.0000,58.0000,15.0000,-128459.3585,6972106.8110,"2",-128463.6000,"38"
"61738752","1","61738752","94","46","8",yes,6972192.748200000263751,,230.0000,72.0000,19.0000,-128396.8997,6972197.5103,"2",-128399.2900,"41"
"61738754","0","61738754","43","30","10",no,6972124.692800000309944,29315878.0000,100.0000,57.0000,20.0000,-128408.5827,6972123.1433,"3",-128406.0300,"43"
"61738757","1","61738757","58","31","5",yes,6972436.509899999946356,29312732.0000,204.0000,62.0000,16.0000,-128460.1496,6972444.3079,"2",-128454.1100,"28"
"61738758","0","61738758","61","38","8",no,6971470.500699999742210,29393419.0000,69.0000,41.0000,12.0000,-127468.5196,6971467.4281,"2",-127469.9700,"88"
"61738759","1","61738759","67","37","6",yes,6971971.136400000192225,,60.0000,35.0000,7.0000,-128503.3288,6971973.4934,"4",-128503.8400,"112"
"61738760","1","61738760","89","41","11",yes,6972034.303799999877810,29273196.0000,186.0000,70.0000,31.0000,-129015.8701,6972034.0408,"3",-129018.7200,"48"
"61738762","1","61738762","46","27","6",yes,6971944.615000000223517,,101.0000,48.0000,15.0000,-128899.6175,6971948.4841,"3",-128900.1700,"46"
"61738763","1","61738763","61","35","6",yes,6972226.974600000306964,,59.0000,34.0000,10.0000,-129032.9403,6972230.7924,"4",-129034.5500,"103"
"61738765","1","61738765","52","31","6",yes,6972124.921000000089407,,187.0000,59.0000,23.0000,-129004.2836,6972124.2583,"2",-129006.0900,"28"
"61738766","1","61738766","54","30","10",yes,6972383.745600000023842,,115.0000,53.0000,16.0000,-129025.9755,6972390.0689,"2",-129026.8400,"47"
"61738768","1","61738768","68","36","7",yes,6972037.642799999564886,,62.0000,34.0000,8.0000,-128722.5524,6972041.6979,"3",-128722.9200,"110"
"61738770","1","61738770","49","29","4",yes,6971762.504799999296665,,149.0000,50.0000,15.0000,-129021.1574,6971766.2275,"3",-129021.3600,"33"
"61738771","0","61738771","49","29","4",no,6971909.302600000053644,29303096.0000,192.0000,69.0000,23.0000,-128624.1801,6971912.0534,"2",-128625.2800,"26"
"61738772","1","61738772","71","35","10",yes,6971990.182699999772012,60993648.0000,168.0000,52.0000,14.0000,-128998.9741,6971995.2413,"2",-128994.4500,"42"
"61738774","1","61738774","50","30","10",yes,6971966.243099999614060,,120.0000,53.0000,16.0000,-129093.3909,6971969.4848,"2",-129091.6300,"42"
"61738775","0","61738775","52","31","8",no,6972321.821100000292063,29272500.0000,131.0000,53.0000,16.0000,-129030.8989,6972324.5344,"2",-129029.6800,"40"
"61738776","1","61738776","68","34","6",yes,6972004.097799999639392,54771023.0000,177.0000,56.0000,18.0000,-128869.4925,6972005.0754,"1",-128868.1900,"38"
"61738778","1","61738778","64","35","7",yes,6972031.905900000594556,,66.0000,35.0000,8.0000,-128628.6666,6972035.1639,"3",-128628.5100,"97"
"61738779","1","61738779","68","36","6",yes,6971871.067599999718368,,171.0000,53.0000,16.0000,-129092.2483,6971871.7275,"2",-129088.9000,"40"
"61738780","1","61738780","51","31","6",yes,6971773.345200000330806,,162.0000,60.0000,19.0000,-129083.9948,6971776.6885,"2",-129084.6300,"31"
"61738783","0","61738783","54","31","11",no,6971804.586299999617040,29269565.0000,111.0000,48.0000,16.0000,-129086.8511,6971808.0387,"3",-129085.6500,"49"
"61738784","1","61738784","47","29","5",yes,6971902.555200000293553,,1224.0000,631.0000,195.0000,-129055.9090,6971921.6102,"3",-129036.8600,"4"
"61738785","0","61738785","54","32","6",no,6972220.050400000065565,29268237.0000,134.0000,47.0000,11.0000,-129101.2871,6972221.8787,"2",-129101.9900,"40"
"61738786","0","61738786","44","27","6",no,6972029.224999999627471,29270431.0000,119.0000,50.0000,16.0000,-129060.5847,6972030.7409,"2",-129061.6800,"37"
"61738788","1","61738788","51","30","4",yes,6972089.766599999740720,,160.0000,56.0000,18.0000,-129079.3036,6972090.7143,"3",-129080.7400,"32"
"61738789","1","61738789","48","34","6",yes,6971726.948099999688566,,78.0000,52.0000,11.0000,-128718.8434,6971723.7773,"2",-128714.0100,"62"
"61738790","1","61738790","65","35","7",yes,6971740.218999999575317,,61.0000,34.0000,7.0000,-128625.4347,6971744.2940,"4",-128626.5800,"107"
